annee_de_deces;region_de_domicile;classe_d_age_de_10_ans;sexe;cause_initiale_de_deces;effectif_de_deces
2021;4;55-64;Hommes;7. Maladies de l’appareil circulatoire;101
2022;4;55-64;Hommes;7. Maladies de l’appareil circulatoire;91
2019;6;55-64;Hommes;7. Maladies de l’appareil circulatoire;20
2020;6;55-64;Hommes;7. Maladies de l’appareil circulatoire;14
2021;6;55-64;Hommes;7. Maladies de l’appareil circulatoire;14
2022;6;55-64;Hommes;7. Maladies de l’appareil circulatoire;21
2019;11;55-64;Hommes;7. Maladies de l’appareil circulatoire;810
2020;11;55-64;Hommes;7. Maladies de l’appareil circulatoire;832
2021;11;55-64;Hommes;7. Maladies de l’appareil circulatoire;861
2022;11;55-64;Hommes;7. Maladies de l’appareil circulatoire;860
2019;24;55-64;Hommes;7. Maladies de l’appareil circulatoire;216
2020;24;55-64;Hommes;7. Maladies de l’appareil circulatoire;216
2021;24;55-64;Hommes;7. Maladies de l’appareil circulatoire;224
2022;24;55-64;Hommes;7. Maladies de l’appareil circulatoire;224
2019;27;55-64;Hommes;7. Maladies de l’appareil circulatoire;268
2020;27;55-64;Hommes;7. Maladies de l’appareil circulatoire;245
2021;27;55-64;Hommes;7. Maladies de l’appareil circulatoire;264
2022;27;55-64;Hommes;7. Maladies de l’appareil circulatoire;255
2019;28;55-64;Hommes;7. Maladies de l’appareil circulatoire;304
2020;28;55-64;Hommes;7. Maladies de l’appareil circulatoire;306
2021;28;55-64;Hommes;7. Maladies de l’appareil circulatoire;361
2022;28;55-64;Hommes;7. Maladies de l’appareil circulatoire;330
2019;32;55-64;Hommes;7. Maladies de l’appareil circulatoire;630
2020;32;55-64;Hommes;7. Maladies de l’appareil circulatoire;705
2021;32;55-64;Hommes;7. Maladies de l’appareil circulatoire;623
2022;32;55-64;Hommes;7. Maladies de l’appareil circulatoire;646
2019;44;55-64;Hommes;7. Maladies de l’appareil circulatoire;517
2020;44;55-64;Hommes;7. Maladies de l’appareil circulatoire;518
2021;44;55-64;Hommes;7. Maladies de l’appareil circulatoire;512
2022;44;55-64;Hommes;7. Maladies de l’appareil circulatoire;540
2019;52;55-64;Hommes;7. Maladies de l’appareil circulatoire;262
2020;52;55-64;Hommes;7. Maladies de l’appareil circulatoire;274
2021;52;55-64;Hommes;7. Maladies de l’appareil circulatoire;315
2022;52;55-64;Hommes;7. Maladies de l’appareil circulatoire;266
2019;53;55-64;Hommes;7. Maladies de l’appareil circulatoire;308
2020;53;55-64;Hommes;7. Maladies de l’appareil circulatoire;305
2021;53;55-64;Hommes;7. Maladies de l’appareil circulatoire;307
2022;53;55-64;Hommes;7. Maladies de l’appareil circulatoire;293
2019;75;55-64;Hommes;7. Maladies de l’appareil circulatoire;542
2020;75;55-64;Hommes;7. Maladies de l’appareil circulatoire;504
2021;75;55-64;Hommes;7. Maladies de l’appareil circulatoire;519
2022;75;55-64;Hommes;7. Maladies de l’appareil circulatoire;527
2019;76;55-64;Hommes;7. Maladies de l’appareil circulatoire;450
2020;76;55-64;Hommes;7. Maladies de l’appareil circulatoire;450
2021;76;55-64;Hommes;7. Maladies de l’appareil circulatoire;447
2022;76;55-64;Hommes;7. Maladies de l’appareil circulatoire;464
2019;84;55-64;Hommes;7. Maladies de l’appareil circulatoire;480
2020;84;55-64;Hommes;7. Maladies de l’appareil circulatoire;544
2021;84;55-64;Hommes;7. Maladies de l’appareil circulatoire;536
2022;84;55-64;Hommes;7. Maladies de l’appareil circulatoire;540
2019;93;55-64;Hommes;7. Maladies de l’appareil circulatoire;373
2020;93;55-64;Hommes;7. Maladies de l’appareil circulatoire;349
2021;93;55-64;Hommes;7. Maladies de l’appareil circulatoire;428
2022;93;55-64;Hommes;7. Maladies de l’appareil circulatoire;399
2019;94;55-64;Hommes;7. Maladies de l’appareil circulatoire;32
2020;94;55-64;Hommes;7. Maladies de l’appareil circulatoire;34
2021;94;55-64;Hommes;7. Maladies de l’appareil circulatoire;26
2022;94;55-64;Hommes;7. Maladies de l’appareil circulatoire;21
2019;1;65-74;Hommes;7. Maladies de l’appareil circulatoire;74
2020;1;65-74;Hommes;7. Maladies de l’appareil circulatoire;75
2021;1;65-74;Hommes;7. Maladies de l’appareil circulatoire;93
2022;1;65-74;Hommes;7. Maladies de l’appareil circulatoire;83
2019;2;65-74;Hommes;7. Maladies de l’appareil circulatoire;70
2020;2;65-74;Hommes;7. Maladies de l’appareil circulatoire;81
2021;2;65-74;Hommes;7. Maladies de l’appareil circulatoire;90
2022;2;65-74;Hommes;7. Maladies de l’appareil circulatoire;80
2019;3;65-74;Hommes;7. Maladies de l’appareil circulatoire;29
2020;3;65-74;Hommes;7. Maladies de l’appareil circulatoire;22
2021;3;65-74;Hommes;7. Maladies de l’appareil circulatoire;29
2022;3;65-74;Hommes;7. Maladies de l’appareil circulatoire;27
2019;4;65-74;Hommes;7. Maladies de l’appareil circulatoire;125
2020;4;65-74;Hommes;7. Maladies de l’appareil circulatoire;128
2021;4;65-74;Hommes;7. Maladies de l’appareil circulatoire;141
2022;4;65-74;Hommes;7. Maladies de l’appareil circulatoire;148
2019;6;65-74;Hommes;7. Maladies de l’appareil circulatoire;17
2020;6;65-74;Hommes;7. Maladies de l’appareil circulatoire;16
2021;6;65-74;Hommes;7. Maladies de l’appareil circulatoire;23
2022;6;65-74;Hommes;7. Maladies de l’appareil circulatoire;21
2019;11;65-74;Hommes;7. Maladies de l’appareil circulatoire;1258
2020;11;65-74;Hommes;7. Maladies de l’appareil circulatoire;1408
2021;11;65-74;Hommes;7. Maladies de l’appareil circulatoire;1498
2022;11;65-74;Hommes;7. Maladies de l’appareil circulatoire;1414
2019;24;65-74;Hommes;7. Maladies de l’appareil circulatoire;487
2020;24;65-74;Hommes;7. Maladies de l’appareil circulatoire;493
2021;24;65-74;Hommes;7. Maladies de l’appareil circulatoire;453
2022;24;65-74;Hommes;7. Maladies de l’appareil circulatoire;518
2019;27;65-74;Hommes;7. Maladies de l’appareil circulatoire;539
2020;27;65-74;Hommes;7. Maladies de l’appareil circulatoire;590
2021;27;65-74;Hommes;7. Maladies de l’appareil circulatoire;566
2022;27;65-74;Hommes;7. Maladies de l’appareil circulatoire;533
2019;28;65-74;Hommes;7. Maladies de l’appareil circulatoire;661
2020;28;65-74;Hommes;7. Maladies de l’appareil circulatoire;667
2021;28;65-74;Hommes;7. Maladies de l’appareil circulatoire;714
2022;28;65-74;Hommes;7. Maladies de l’appareil circulatoire;729
2019;32;65-74;Hommes;7. Maladies de l’appareil circulatoire;1121
2020;32;65-74;Hommes;7. Maladies de l’appareil circulatoire;1259
2021;32;65-74;Hommes;7. Maladies de l’appareil circulatoire;1253
2022;32;65-74;Hommes;7. Maladies de l’appareil circulatoire;1299
2019;44;65-74;Hommes;7. Maladies de l’appareil circulatoire;1019
2020;44;65-74;Hommes;7. Maladies de l’appareil circulatoire;997
2021;44;65-74;Hommes;7. Maladies de l’appareil circulatoire;1067
2022;44;65-74;Hommes;7. Maladies de l’appareil circulatoire;1002
2019;52;65-74;Hommes;7. Maladies de l’appareil circulatoire;537
2020;52;65-74;Hommes;7. Maladies de l’appareil circulatoire;612
2021;52;65-74;Hommes;7. Maladies de l’appareil circulatoire;639
2022;52;65-74;Hommes;7. Maladies de l’appareil circulatoire;633
2019;53;65-74;Hommes;7. Maladies de l’appareil circulatoire;638
2020;53;65-74;Hommes;7. Maladies de l’appareil circulatoire;672
2021;53;65-74;Hommes;7. Maladies de l’appareil circulatoire;687
2022;53;65-74;Hommes;7. Maladies de l’appareil circulatoire;645
2019;75;65-74;Hommes;7. Maladies de l’appareil circulatoire;1085
2020;75;65-74;Hommes;7. Maladies de l’appareil circulatoire;1062
2021;75;65-74;Hommes;7. Maladies de l’appareil circulatoire;1168
2022;75;65-74;Hommes;7. Maladies de l’appareil circulatoire;1192
2019;76;65-74;Hommes;7. Maladies de l’appareil circulatoire;998
2020;76;65-74;Hommes;7. Maladies de l’appareil circulatoire;980
2021;76;65-74;Hommes;7. Maladies de l’appareil circulatoire;1060
2022;76;65-74;Hommes;7. Maladies de l’appareil circulatoire;1070
2019;84;65-74;Hommes;7. Maladies de l’appareil circulatoire;1135
2020;84;65-74;Hommes;7. Maladies de l’appareil circulatoire;1067
2021;84;65-74;Hommes;7. Maladies de l’appareil circulatoire;1226
2022;84;65-74;Hommes;7. Maladies de l’appareil circulatoire;1208
2019;93;65-74;Hommes;7. Maladies de l’appareil circulatoire;863
2020;93;65-74;Hommes;7. Maladies de l’appareil circulatoire;824
2021;93;65-74;Hommes;7. Maladies de l’appareil circulatoire;860
2022;93;65-74;Hommes;7. Maladies de l’appareil circulatoire;836
2019;94;65-74;Hommes;7. Maladies de l’appareil circulatoire;75
2020;94;65-74;Hommes;7. Maladies de l’appareil circulatoire;49
2021;94;65-74;Hommes;7. Maladies de l’appareil circulatoire;74
2022;94;65-74;Hommes;7. Maladies de l’appareil circulatoire;71
2019;1;75-84;Hommes;7. Maladies de l’appareil circulatoire;115
2020;1;75-84;Hommes;7. Maladies de l’appareil circulatoire;93
2021;1;75-84;Hommes;7. Maladies de l’appareil circulatoire;129
2022;1;75-84;Hommes;7. Maladies de l’appareil circulatoire;100
2019;2;75-84;Hommes;7. Maladies de l’appareil circulatoire;110
2020;2;75-84;Hommes;7. Maladies de l’appareil circulatoire;103
2021;2;75-84;Hommes;7. Maladies de l’appareil circulatoire;113
2022;2;75-84;Hommes;7. Maladies de l’appareil circulatoire;92
2019;3;75-84;Hommes;7. Maladies de l’appareil circulatoire;18
2020;3;75-84;Hommes;7. Maladies de l’appareil circulatoire;19
2021;3;75-84;Hommes;7. Maladies de l’appareil circulatoire;20
2022;3;75-84;Hommes;7. Maladies de l’appareil circulatoire;23
2019;4;75-84;Hommes;7. Maladies de l’appareil circulatoire;168
2020;4;75-84;Hommes;7. Maladies de l’appareil circulatoire;142
2021;4;75-84;Hommes;7. Maladies de l’appareil circulatoire;161
2022;4;75-84;Hommes;7. Maladies de l’appareil circulatoire;159
2019;6;75-84;Hommes;7. Maladies de l’appareil circulatoire;19
2020;6;75-84;Hommes;7. Maladies de l’appareil circulatoire;18
2021;6;75-84;Hommes;7. Maladies de l’appareil circulatoire;16
2022;6;75-84;Hommes;7. Maladies de l’appareil circulatoire;21
2019;11;75-84;Hommes;7. Maladies de l’appareil circulatoire;1834
2020;11;75-84;Hommes;7. Maladies de l’appareil circulatoire;1768
2021;11;75-84;Hommes;7. Maladies de l’appareil circulatoire;1954
2022;11;75-84;Hommes;7. Maladies de l’appareil circulatoire;1907
2019;24;75-84;Hommes;7. Maladies de l’appareil circulatoire;771
2020;24;75-84;Hommes;7. Maladies de l’appareil circulatoire;751
2021;24;75-84;Hommes;7. Maladies de l’appareil circulatoire;709
2022;24;75-84;Hommes;7. Maladies de l’appareil circulatoire;739
2019;27;75-84;Hommes;7. Maladies de l’appareil circulatoire;880
2020;27;75-84;Hommes;7. Maladies de l’appareil circulatoire;819
2021;27;75-84;Hommes;7. Maladies de l’appareil circulatoire;859
2022;27;75-84;Hommes;7. Maladies de l’appareil circulatoire;775
2019;28;75-84;Hommes;7. Maladies de l’appareil circulatoire;924
2020;28;75-84;Hommes;7. Maladies de l’appareil circulatoire;919
2021;28;75-84;Hommes;7. Maladies de l’appareil circulatoire;936
2022;28;75-84;Hommes;7. Maladies de l’appareil circulatoire;1025
2019;32;75-84;Hommes;7. Maladies de l’appareil circulatoire;1415
2020;32;75-84;Hommes;7. Maladies de l’appareil circulatoire;1465
2021;32;75-84;Hommes;7. Maladies de l’appareil circulatoire;1369
2022;32;75-84;Hommes;7. Maladies de l’appareil circulatoire;1458
2019;44;75-84;Hommes;7. Maladies de l’appareil circulatoire;1563
2020;44;75-84;Hommes;7. Maladies de l’appareil circulatoire;1470
2021;44;75-84;Hommes;7. Maladies de l’appareil circulatoire;1536
2022;44;75-84;Hommes;7. Maladies de l’appareil circulatoire;1463
2019;52;75-84;Hommes;7. Maladies de l’appareil circulatoire;919
2020;52;75-84;Hommes;7. Maladies de l’appareil circulatoire;891
2021;52;75-84;Hommes;7. Maladies de l’appareil circulatoire;926
2022;52;75-84;Hommes;7. Maladies de l’appareil circulatoire;953
2019;53;75-84;Hommes;7. Maladies de l’appareil circulatoire;973
2020;53;75-84;Hommes;7. Maladies de l’appareil circulatoire;968
2021;53;75-84;Hommes;7. Maladies de l’appareil circulatoire;963
2022;53;75-84;Hommes;7. Maladies de l’appareil circulatoire;1012
2019;75;75-84;Hommes;7. Maladies de l’appareil circulatoire;1743
2020;75;75-84;Hommes;7. Maladies de l’appareil circulatoire;1754
2021;75;75-84;Hommes;7. Maladies de l’appareil circulatoire;1835
2022;75;75-84;Hommes;7. Maladies de l’appareil circulatoire;1861
2019;76;75-84;Hommes;7. Maladies de l’appareil circulatoire;1690
2020;76;75-84;Hommes;7. Maladies de l’appareil circulatoire;1633
2021;76;75-84;Hommes;7. Maladies de l’appareil circulatoire;1582
2022;76;75-84;Hommes;7. Maladies de l’appareil circulatoire;1710
2019;84;75-84;Hommes;7. Maladies de l’appareil circulatoire;2059
2020;84;75-84;Hommes;7. Maladies de l’appareil circulatoire;1755
2021;84;75-84;Hommes;7. Maladies de l’appareil circulatoire;1909
2022;84;75-84;Hommes;7. Maladies de l’appareil circulatoire;2001
2019;93;75-84;Hommes;7. Maladies de l’appareil circulatoire;1318
2020;93;75-84;Hommes;7. Maladies de l’appareil circulatoire;1447
2021;93;75-84;Hommes;7. Maladies de l’appareil circulatoire;1412
2022;93;75-84;Hommes;7. Maladies de l’appareil circulatoire;1446
2019;94;75-84;Hommes;7. Maladies de l’appareil circulatoire;107
2020;94;75-84;Hommes;7. Maladies de l’appareil circulatoire;111
2021;94;75-84;Hommes;7. Maladies de l’appareil circulatoire;103
2022;94;75-84;Hommes;7. Maladies de l’appareil circulatoire;110
2019;1;85-94;Hommes;7. Maladies de l’appareil circulatoire;94
2020;1;85-94;Hommes;7. Maladies de l’appareil circulatoire;89
2021;1;85-94;Hommes;7. Maladies de l’appareil circulatoire;98
2022;1;85-94;Hommes;7. Maladies de l’appareil circulatoire;87
2019;2;85-94;Hommes;7. Maladies de l’appareil circulatoire;109
2020;2;85-94;Hommes;7. Maladies de l’appareil circulatoire;104
2021;2;85-94;Hommes;7. Maladies de l’appareil circulatoire;124
2022;2;85-94;Hommes;7. Maladies de l’appareil circulatoire;110
2019;3;85-94;Hommes;7. Maladies de l’appareil circulatoire;15
2020;3;85-94;Hommes;7. Maladies de l’appareil circulatoire;12
2021;3;85-94;Hommes;7. Maladies de l’appareil circulatoire;12
2022;3;85-94;Hommes;7. Maladies de l’appareil circulatoire;19
2019;4;85-94;Hommes;7. Maladies de l’appareil circulatoire;109
2020;4;85-94;Hommes;7. Maladies de l’appareil circulatoire;103
2021;4;85-94;Hommes;7. Maladies de l’appareil circulatoire;115
2022;4;85-94;Hommes;7. Maladies de l’appareil circulatoire;124
2019;6;85-94;Hommes;7. Maladies de l’appareil circulatoire;4
2020;6;85-94;Hommes;7. Maladies de l’appareil circulatoire;8
2021;6;85-94;Hommes;7. Maladies de l’appareil circulatoire;14
2022;6;85-94;Hommes;7. Maladies de l’appareil circulatoire;11
2019;11;85-94;Hommes;7. Maladies de l’appareil circulatoire;2511
2020;11;85-94;Hommes;7. Maladies de l’appareil circulatoire;2281
2021;11;85-94;Hommes;7. Maladies de l’appareil circulatoire;2379
2022;11;85-94;Hommes;7. Maladies de l’appareil circulatoire;2415
2019;24;85-94;Hommes;7. Maladies de l’appareil circulatoire;1124
2020;24;85-94;Hommes;7. Maladies de l’appareil circulatoire;1159
2021;24;85-94;Hommes;7. Maladies de l’appareil circulatoire;1220
2022;24;85-94;Hommes;7. Maladies de l’appareil circulatoire;1137
2019;27;85-94;Hommes;7. Maladies de l’appareil circulatoire;1211
2020;27;85-94;Hommes;7. Maladies de l’appareil circulatoire;1162
2021;27;85-94;Hommes;7. Maladies de l’appareil circulatoire;1123
2022;27;85-94;Hommes;7. Maladies de l’appareil circulatoire;1135
2019;28;85-94;Hommes;7. Maladies de l’appareil circulatoire;1345
2020;28;85-94;Hommes;7. Maladies de l’appareil circulatoire;1382
2021;28;85-94;Hommes;7. Maladies de l’appareil circulatoire;1377
2022;28;85-94;Hommes;7. Maladies de l’appareil circulatoire;1399
2019;32;85-94;Hommes;7. Maladies de l’appareil circulatoire;1712
2020;32;85-94;Hommes;7. Maladies de l’appareil circulatoire;1730
2021;32;85-94;Hommes;7. Maladies de l’appareil circulatoire;1665
2022;32;85-94;Hommes;7. Maladies de l’appareil circulatoire;1763
2019;44;85-94;Hommes;7. Maladies de l’appareil circulatoire;2023
2020;44;85-94;Hommes;7. Maladies de l’appareil circulatoire;1927
2021;44;85-94;Hommes;7. Maladies de l’appareil circulatoire;1887
2022;44;85-94;Hommes;7. Maladies de l’appareil circulatoire;2015
2019;52;85-94;Hommes;7. Maladies de l’appareil circulatoire;1637
2020;52;85-94;Hommes;7. Maladies de l’appareil circulatoire;1581
